Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 12550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 12950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 13900 | Avg Return: 0.00 | Learner Acc: 100.00%
